item_id,subject,category,idx_in_subject,question,choice_A,choice_B,choice_C,choice_D,answer
college_computer_science_0000,college_computer_science,STEM,0,L’approche d’accès de la matrice envers la protection est associée à la difficulté suivante,"la matrice, si elle n’est pas directement stockée, est grande et peut être complexe à gérer",elle n’est pas capable d’exprimer des exigences complexes de protection,difficulté à décider si un processus a accès à une ressource est indécidable,Il n’existe pas de moyen d’exprimer qui possède les droits de modifier la matrice d’accès en soi,A
college_computer_science_0010,college_computer_science,STEM,10,"Mergesort fonctionne en divisant une liste de nombres n de moitié, en triant chaque moitié de façon récursive et en fusionnant les deux moitiés. Laquelle des structures de données suivantes va permettre à mergesort de fonctionner dans le délai O(n log n) ?
I. une liste à lien unique
II. Un liste à lien double
III. Un tableau",Aucune,III seulement,I et II seulement,"I, II et III",D
college_computer_science_0018,college_computer_science,STEM,18,Laquelle des déclarations suivantes sur les Ethernets est-elle généralement FAUSSE ?,Les Ethernets utilisent des commutations de circuit pour envoyer des messages.,Les Ethernets utilisent des bus à maîtres multiples.,Les protocoles Ethernet utilisent une méthode de détection de collision pour garantir que les messages sont bien transmis.,Les réseaux raccordés par des Ethernets ont une longueur limitée à quelque centaines de mètres.,A
college_computer_science_0022,college_computer_science,STEM,22,Ce protocole IP est principal concerné par,Du routage des paquets au travers du réseau,D’une livraison fiable des paquets entre les machines directement connectées,De la livraison fiable de messages de grande taille (à paquets multiples) entre les machines qui ne sont pas nécessairement directement connectées,De traiter les différences entre les architectures de système d’exploitation,A
college_computer_science_0030,college_computer_science,STEM,30,"Parmi les affirmations suivantes, laquelle est-elle vraie sur les interrupts ?",Ils sont générés lorsque les cycles de mémoire sont « volés ».,Ils sont utilisés pour remplacer les canaux de données.,Ils peuvent indiquer l’achèvement d’une opération E/S.,Ils ne peuvent pas être générés par des opérations arithmétiques.,C
college_computer_science_0039,college_computer_science,STEM,39,"Parmi les suivants, lequel caractérise-t-il le mieux les ordinateurs qui utilisent les E/S mappées en mémoire ?",L’ordinateur fournit des instructions spéciales pour la manipulation des ports E/S,Les ports E/S sont placés à des adresses sur le bus et sont accédés tout comme les autres emplacements de mémoire.,"Pour effectuer une opération d’E/S, il est suffisant de placer les données dans un registre d’adresses et d’appeler le canal à effectuer l’opération.",Les ports sont référencés uniquement par les instructions à mémoire mappée de l’ordinateur et sont situés dans des endroits câblés de la mémoire,B
college_computer_science_0044,college_computer_science,STEM,44,"Pour un graphe connecté non dirigé G = (V, E), lequel des suivants doit-il être vrai ?
I. Σ_{v∈V} degré(v) est pair.
II. |E| ≥ |V| − 1
III. G a au moins un vertex de degré 1.",I seulement,II seulement,III seulement,I et II,D
college_computer_science_0045,college_computer_science,STEM,45,"Dans des systèmes multiprogrammés, il est avantageux d’avoir des programmes tels que des éditeurs et des compilateurs à partager entre plusieurs utilisateurs. Lequel des énoncés suivants doit être vrai à propos des systèmes multiprogrammés pour qu’une copie unique d’un programme puisse être partagé par plusieurs utilisateurs ?
I. Le programme est une macro.
II. Le programme est récursif.
III. le programme est réentrant.",I seulement,II seulement,III seulement,II et III uniquement,C
college_computer_science_0053,college_computer_science,STEM,53,Lequel des algorithmes de tri suivants possède des délais d’exécution de cas moyen et du pire de O(n log n) ?,Tri à bulles,Tri d’insertion,Tri de fusion,Quicksort,C
college_computer_science_0070,college_computer_science,STEM,70,"Laquelle ou lesquelles des considérations suivantes s’applique(ent)-elle(s) pour choisir la taille de page d’un système de radiomessagerie ?
I. Un avantage des pages plus grande réside dans le fait qu’elles permettent des tableaux de page plus petits.
II. Un avantage des pages plus petites réside dans le fait qu’elles entraînent moins de déchets grâce à la fragmentation interne.
III. Normalement, le facteur dominant du temps d’accès au disque ne dépend pas de la longueur de la page, les pages plus longues peuvent être ainsi utilisées avantageusement.",I seulement,II seulement,I et III seulement,"I, II et III",D
college_computer_science_0080,college_computer_science,STEM,80,"Un circuit Euler d’un graphe non dirigé est un circuit dans lequel chaque bord du graphe s’affiche exactement une fois. Lequel des graphes non dirigés suivants possède-t-il un circuit Euler ?
I. Un graphe complet avec 12 sommets
II. Un graphe complet avec 13 sommets
III. Un arbre à 13 sommets",I seulement,II seulement,III seulement,I et II,B
college_computer_science_0083,college_computer_science,STEM,83,Une politique de programmation de tâche sans famine garantit qu’aucune tâche n’attend indéfiniment le service. Laquelle des politiques suivantes de programmation de tâche est-elle sans famine ?,Round-robin,File d’attente de priorité,Tâche la plus courte en premier,Tâche la plus jeune en premier,A
